;     No;Personnel Area;Pers. Number;Employee Name;Position;Personnel Subarea;Lv;TMK;Birthdate;Gender;Age;Length of Service;Pend;Nama Sekolah/Univ;Jurusan
;1;ICBP-Noodle Tangerang;7320156;Rian Saputra;QC Section Spv;R&D QC/QA;SUPERVISOR;12/05/2015;18/09/1988;Male;37.0;10.4;S1;Universitas Diponegoro;Kimia
;2;ICBP-Noodle Bandung;82367125;Dina Kartika;Finance Staff;ADM Fin.& Acct.;STAFF;10/03/2019;25/11/1994;Female;30.0;6.5;S1;Universitas Padjadjaran;Akuntansi
;3;ICBP-Noodle Surabaya;6712034;Aditya Nugroho;HR Admin Spv;ADM HR;SUPERVISOR;05/07/2016;14/02/1990;Male;35.0;9.2;S1;Universitas Airlangga;Manajemen SDM
;4;ICBP-Noodle Cibitung;74219854;Lestari Putri;Tax Officer;ADM Fin.& Acct.;STAFF;01/09/2020;11/06/1996;Female;29.0;5.0;S1;Universitas Indonesia;Perpajakan
;5;ICBP-Noodle Medan;5671238;Yudi Hartono;Production Spv;MFG Production;SUPERVISOR;18/04/2014;03/01/1987;Male;38.0;11.4;S1;Universitas Sumatera Utara;Teknik Industri
;6;ICBP-Noodle Semarang;89234125;Dwi Anggraini;Marketing Admin;MKT Marketing;STAFF;20/06/2021;22/08/1998;Female;27.0;4.3;S1;Universitas Diponegoro;Manajemen Pemasaran
;7;ICBP-Noodle Palembang;7239814;Ahmad Rizky;Warehouse FG Spv;MFG Warehouse;SUPERVISOR;14/02/2015;05/05/1989;Male;36.0;10.6;S1;Universitas Sriwijaya;Logistik
;8;ICBP-Noodle Manado;89456123;Sinta Lestari;IR & PR Staff;ADM HR;STAFF;02/11/2022;30/07/1999;Female;26.0;2.0;S1;Universitas Sam Ratulangi;Ilmu Komunikasi
;9;ICBP-Noodle Pekanbaru;56127834;Rudi Prabowo;Buyer;MFG Purchasing;STAFF;10/12/2018;28/02/1993;Male;32.0;6.8;S1;Universitas Riau;Manajemen
;10;ICBP-Noodle Pontianak;67234912;Winda Kusuma;Technical Spv;MFG Technical;SUPERVISOR;03/08/2017;17/04/1991;Female;34.0;8.1;S1;Universitas Tanjungpura;Teknik Mesin
;11;ICBP-Noodle Head Office;81234967;Indra Gunawan;Finance Spv;ADM Fin.& Acct.;SUPERVISOR;12/01/2016;21/09/1989;Male;36.0;9.7;S1;Universitas Trisakti;Akuntansi
;12;ICBP-Noodle Makassar;7812345;Nurul Aisyah;Tax Staff;ADM Fin.& Acct.;STAFF;06/06/2021;04/12/1997;Female;27.0;4.3;S1;Universitas Hasanuddin;Perpajakan
;13;ICBP-Noodle Lampung;83472198;Fajar Ramadhan;Sales Trainee;ADM HR;STAFF;05/05/2023;15/02/2001;Male;24.0;1.4;S1;Universitas Lampung;Manajemen Pemasaran
;14;ICBP-Noodle Cirebon;67124987;Melati Sari;Marketing EDP Spv;MKT Marketing;SUPERVISOR;08/08/2018;27/01/1992;Female;33.0;7.1;S1;Universitas Swadaya Gunung Jati;Sistem Informasi
;15;ICBP-Noodle Jambi;89234176;Teguh Wibowo;Warehouse Mgr, Act;MFG Warehouse;MANAGER;14/07/2013;02/06/1985;Male;40.0;12.2;S1;Universitas Jambi;Manajemen Logistik
;16;ICBP-Noodle Head Office;78234965;Ratna Widya;Org Dev Staff;ADM HR;STAFF;12/02/2020;13/08/1996;Female;29.0;5.6;S1;Universitas Indonesia;Psikologi
;17;ICBP-Noodle Tangerang;89123456;Bambang Setiawan;QC FG Section Spv;R&D QC/QA;SUPERVISOR;21/09/2015;11/05/1989;Male;36.0;10.0;S1;Universitas Brawijaya;Teknologi Pangan
;18;ICBP-Noodle Surabaya;67234918;Diah Permata;PR Staff;ADM HR;STAFF;09/11/2021;22/03/1998;Female;27.0;3.8;S1;Universitas Airlangga;Ilmu Komunikasi
;19;ICBP-Noodle Bandung;75123498;Hafiz Rahman;Production Mgr, Act;MFG Production;MANAGER;04/04/2012;17/10/1984;Male;40.0;13.5;S1;Institut Teknologi Bandung;Teknik Industri
;20;ICBP-Noodle Makassar;83124765;Nabila Ayu;Secretary to GM HR;ADM HR;STAFF;02/07/2019;08/12/1995;Female;29.0;6.2;S1;Universitas Hasanuddin;Administrasi Perkantoran
;21;ICBP-Noodle Palembang;67234519;Andriansyah;Whs RM Section Spv;MFG Warehouse;SUPERVISOR;06/05/2017;29/04/1991;Male;34.0;8.3;S1;Universitas Sriwijaya;Manajemen Logistik
;22;ICBP-Noodle Medan;81234914;Citra Anggun;HRIS Staff;ADM HR;STAFF;11/10/2022;14/11/1999;Female;25.0;2.0;S1;Universitas Sumatera Utara;Sistem Informasi
;23;ICBP-Noodle Pontianak;71234561;Arief Hidayat;Tech Utility Spv;MFG Technical;SUPERVISOR;03/01/2016;09/09/1988;Male;37.0;9.7;S1;Universitas Tanjungpura;Teknik Elektro
;24;ICBP-Noodle Banjarmasin;69234187;Sari Melinda;Distribution Staff;MKT Sales&Distr;STAFF;18/08/2020;01/04/1996;Female;29.0;5.1;S1;Universitas Lambung Mangkurat;Manajemen
;25;ICBP-Noodle Head Office;83471923;Yoga Prasetyo;General Acct Spv;ADM Fin.& Acct.;SUPERVISOR;12/12/2014;26/01/1988;Male;37.0;10.7;S1;Universitas Indonesia;Akuntansi
;26;ICBP-Noodle Head Office;7219345;Ahmad Fauzan;Finance Staff;ADM Fin.& Acct.;STAFF;14/01/2021;23/09/1997;Male;28.0;4.7;S1;Universitas Indonesia;Akuntansi
;27;ICBP-Noodle Head Office;89321456;Siti Marlina;HR Admin Spv;ADM HR;SUPERVISOR;03/05/2016;14/06/1990;Female;35.0;9.4;S1;Universitas Negeri Jakarta;Manajemen SDM
;28;ICBP-Noodle Head Office;67324981;Budi Hartanto;Tax Staff;ADM Fin.& Acct.;STAFF;11/11/2022;05/08/1999;Male;26.0;2.0;S1;Universitas Trisakti;Perpajakan
;29;ICBP-Noodle Head Office;81234678;Rika Amelia;Org Dev Staff;ADM HR;STAFF;18/06/2020;17/02/1996;Female;29.0;5.3;S1;Universitas Indonesia;Psikologi
;30;ICBP-Noodle Head Office;67128934;Adi Wijaya;General Acct Spv;ADM Fin.& Acct.;SUPERVISOR;09/04/2015;22/11/1989;Male;35.0;10.4;S1;Universitas Diponegoro;Akuntansi
;31;ICBP-Noodle Head Office;73489215;Dewi Kurniasari;Marketing Admin;MKT Marketing;STAFF;22/08/2021;10/03/1998;Female;27.0;4.1;S1;Universitas Padjadjaran;Manajemen Pemasaran
;32;ICBP-Noodle Head Office;89123475;Irwan Prakoso;Production Mgr, Act;MFG Production;MANAGER;06/07/2013;12/01/1985;Male;40.0;12.2;S1;Institut Teknologi Bandung;Teknik Industri
;33;ICBP-Noodle Head Office;65432187;Putri Ananda;PR Staff;ADM HR;STAFF;15/10/2022;02/06/2000;Female;25.0;2.0;S1;Universitas Indonesia;Ilmu Komunikasi
;34;ICBP-Noodle Head Office;78123496;Yogi Setiawan;QC FG Section Spv;R&D QC/QA;SUPERVISOR;19/02/2016;11/09/1989;Male;36.0;9.6;S1;Universitas Airlangga;Teknologi Pangan
;35;ICBP-Noodle Head Office;72938412;Laila Nurjanah;HRIS Staff;ADM HR;STAFF;02/12/2020;28/07/1997;Female;28.0;4.8;S1;Universitas Gunadarma;Sistem Informasi
;36;ICBP-Noodle Head Office;82341965;Fajar Kurniawan;Finance Spv;ADM Fin.& Acct.;SUPERVISOR;12/09/2017;14/04/1991;Male;34.0;8.0;S1;Universitas Brawijaya;Akuntansi
;37;ICBP-Noodle Head Office;67129438;Dini Safitri;Secretary to GM HR;ADM HR;STAFF;20/05/2019;05/12/1995;Female;29.0;6.3;S1;Universitas Indonesia;Administrasi Perkantoran
;38;ICBP-Noodle Head Office;89213457;Rahmat Hidayat;Warehouse Spv;MFG Warehouse;SUPERVISOR;17/04/2016;22/08/1989;Male;36.0;9.4;S1;Universitas Negeri Jakarta;Manajemen Logistik
;39;ICBP-Noodle Head Office;71298346;Mega Pratiwi;Tax & Acct Spv;ADM Fin.& Acct.;SUPERVISOR;05/08/2015;11/01/1990;Female;35.0;10.1;S1;Universitas Diponegoro;Akuntansi
;40;ICBP-Noodle Head Office;63472891;Bagus Santoso;QC RM Section Spv;R&D QC/QA;SUPERVISOR;09/03/2014;25/05/1988;Male;37.0;11.5;S1;Universitas Gadjah Mada;Kimia
;41;ICBP-Noodle Head Office;78912346;Indah Wulandari;Org Dev Spv;ADM HR;SUPERVISOR;15/09/2016;04/02/1990;Female;35.0;9.1;S1;Universitas Indonesia;Psikologi
;42;ICBP-Noodle Head Office;82349162;Arman Sutrisno;Technical Spv;MFG Technical;SUPERVISOR;11/07/2017;21/10/1991;Male;34.0;8.2;S1;Universitas Sebelas Maret;Teknik Mesin
;43;ICBP-Noodle Head Office;76123894;Rini Anggraini;HR Admin;ADM HR;STAFF;02/04/2021;13/08/1997;Female;28.0;4.5;S1;Universitas Padjadjaran;Administrasi Bisnis
;44;ICBP-Noodle Head Office;89234156;Dedy Firmansyah;HR Admin;ADM HR;MANAGER;03/02/2012;18/06/1984;Male;41.0;13.6;S1;Universitas Indonesia;Akuntansi
;45;ICBP-Noodle Head Office;67283915;Yulia Prameswari;Marketing EDP Staff;MKT Marketing;STAFF;01/08/2022;20/10/1999;Female;25.0;2.1;S1;Universitas Gunadarma;Sistem Informasi
;46;ICBP-Noodle Head Office;71829364;Andi Setiawan;QC Auditor Spv;R&D QC/QA;SUPERVISOR;06/06/2015;08/07/1989;Male;36.0;10.3;S1;Universitas Brawijaya;Teknologi Pangan
;47;ICBP-Noodle Head Office;83419275;Nur Aulia;HRIS Spv;ADM HR;SUPERVISOR;18/10/2016;02/09/1990;Female;35.0;9.0;S1;Universitas Indonesia;Sistem Informasi
;48;ICBP-Noodle Head Office;79123468;Faisal Hakim;Buyer;MFG Purchasing;STAFF;20/01/2020;29/03/1995;Male;30.0;5.7;S1;Universitas Trisakti;Manajemen
;49;ICBP-Noodle Head Office;68234971;Shinta Ambarwati;Secretary to GM Marketing;MKT Marketing;STAFF;10/05/2021;06/04/1997;Female;28.0;4.4;S1;Universitas Indonesia;Administrasi Perkantoran
;50;ICBP-Noodle Head Office;82347915;Yoga Firmansyah;Production Spv;MFG Production;SUPERVISOR;07/03/2015;19/12/1988;Male;36.0;10.5;S1;Universitas Gadjah Mada;
;51;ICBP-Noodle Surabaya;7213489;Dimas Prasetyo;Finance Staff;ADM Fin.& Acct.;STAFF;12/05/2021;10/08/1997;Male;28.0;4.3;S1;Universitas Airlangga;Akuntansi
;52;ICBP-Noodle Cibitung;8234712;Nia Anggraini;HR Admin;ADM HR;STAFF;08/03/2020;21/06/1996;Female;29.0;5.5;S1;Universitas Indonesia;Manajemen SDM
;53;ICBP-Noodle Tangerang;67123984;Rudi Hartono;QC Section Spv;R&D QC/QA;SUPERVISOR;05/02/2016;14/09/1989;Male;36.0;9.7;S1;Universitas Diponegoro;Kimia
;54;ICBP-Noodle Bandung;78234912;Sari Kusuma;Production Spv;MFG Production;SUPERVISOR;12/04/2015;22/11/1988;Female;37.0;10.5;S1;Institut Teknologi Bandung;Teknik Industri
;55;ICBP-Noodle Medan;67234891;Andi Firmansyah;Warehouse Spv;MFG Warehouse;SUPERVISOR;20/06/2016;05/05/1989;Male;36.0;9.2;S1;Universitas Sumatera Utara;Logistik
;56;ICBP-Noodle Semarang;81234917;Fitri Anggraini;Marketing EDP Staff;MKT Marketing;STAFF;15/03/2022;02/07/1998;Female;27.0;3.5;S1;Universitas Diponegoro;Manajemen Pemasaran
;57;ICBP-Noodle Pekanbaru;73248195;Dwi Santoso;Buyer;MFG Purchasing;STAFF;03/11/2019;25/01/1995;Male;30.0;5.9;S1;Universitas Riau;Manajemen
;58;ICBP-Noodle Palembang;67129384;Lina Pratiwi;HRIS Staff;ADM HR;STAFF;21/05/2020;18/12/1996;Female;28.0;5.1;S1;Universitas Sriwijaya;Sistem Informasi
;59;ICBP-Noodle Cirebon;82349127;Ahmad Yulianto;QC RM Section Spv;R&D QC/QA;SUPERVISOR;17/08/2015;11/03/1989;Male;36.0;10.4;S1;Universitas Diponegoro;Kimia
;60;ICBP-Noodle Jambi;67123489;Nabila Ayu;Org Dev Staff;ADM HR;STAFF;10/12/2021;06/04/1997;Female;28.0;4.3;S1;Universitas Jambi;Psikologi
;61;ICBP-Noodle DKI;82347156;Dedi Firmansyah;Finance Spv;ADM Fin.& Acct.;SUPERVISOR;05/02/2016;14/09/1989;Male;36.0;9.7;S1;Universitas Indonesia;Akuntansi
;62;ICBP-Noodle Surabaya;71234891;Rini Sari;Marketing Admin;MKT Marketing;STAFF;03/04/2021;12/02/1997;Female;28.0;4.2;S1;Universitas Airlangga;Manajemen Pemasaran
;63;ICBP-Noodle Makassar;82347189;Budi Santoso;Production Mgr, Act;MFG Production;MANAGER;08/03/2012;17/10/1984;Male;40.0;13.5;S1;Universitas Hasanuddin;Teknik Industri
;64;ICBP-Noodle Lampung;67123987;Siti Nurjanah;HR Admin Spv;ADM HR;SUPERVISOR;11/06/2016;09/08/1990;Female;35.0;9.2;S1;Universitas Lampung;Manajemen SDM
;65;ICBP-Noodle Medan;71234987;Andri Prasetyo;Warehouse Mgr, Act;MFG Warehouse;MANAGER;02/07/2013;02/06/1985;Male;40.0;12.2;S1;Universitas Sumatera Utara;Logistik
;66;ICBP-Noodle Pontianak;67123941;Fitri Anggraini;QC FG Section Spv;R&D QC/QA;SUPERVISOR;20/05/2015;11/05/1989;Female;36.0;10.0;S1;Universitas Tanjungpura;Teknologi Pangan
;67;ICBP-Noodle Tangerang;82347134;Arief Hidayat;Finance Staff;ADM Fin.& Acct.;STAFF;14/02/2021;15/09/1997;Male;28.0;4.5;S1;Universitas Diponegoro;Akuntansi
;68;ICBP-Noodle Bandung;67123849;Nia Kurniawati;HRIS Staff;ADM HR;STAFF;06/11/2020;24/07/1996;Female;29.0;5.1;S1;Universitas Padjadjaran;Sistem Informasi
;69;ICBP-Noodle Palembang;82349172;Yogi Santoso;QC RM & FG Spv;R&D QC/QA;SUPERVISOR;18/08/2015;03/06/1989;Male;36.0;10.3;S1;Universitas Sriwijaya;Kimia
;70;ICBP-Noodle Cibitung;67123456;Rika Anggraini;Marketing EDP Spv;MKT Marketing;SUPERVISOR;15/05/2018;27/01/1992;Female;33.0;7.1;S1;Universitas Indonesia;Sistem Informasi
;71;ICBP-Noodle Medan;82347125;Dedi Santoso;Buyer;MFG Purchasing;STAFF;10/12/2019;28/02/1995;Male;30.0;5.8;S1;Universitas Sumatera Utara;Manajemen
;72;ICBP-Noodle Semarang;67123912;Lina Pratiwi;Org Dev Staff;ADM HR;STAFF;02/08/2021;06/04/1997;Female;28.0;4.2;S1;Universitas Diponegoro;Psikologi
;73;ICBP-Noodle Jambi;82347156;Arman Firmansyah;Production Spv;MFG Production;SUPERVISOR;07/03/2015;19/12/1988;Male;36.0;10.5;S1;Universitas Jambi;Teknik Industri
;74;ICBP-Noodle Head Office;67123478;Nabila Anggraini;HR Admin;ADM HR;STAFF;12/04/2021;11/09/1997;Female;28.0;4.1;S1;Universitas Indonesia;Manajemen SDM
;75;ICBP-Noodle Surabaya;82349168;Dwi Prasetyo;Finance Spv;ADM Fin.& Acct.;SUPERVISOR;15/07/2017;20/11/1991;Male;34.0;8.2;S1;Universitas Airlangga;Akuntansi
;76;ICBP-Noodle Tangerang;67123984;Ahmad Fauzan;Finance Staff;ADM Fin.& Acct.;STAFF;14/01/2021;23/09/1997;Male;28.0;4.7;S1;Universitas Indonesia;Akuntansi
;77;ICBP-Noodle Head Office;82347156;Siti Marlina;HR Admin Spv;ADM HR;SUPERVISOR;03/05/2016;14/06/1990;Female;35.0;9.4;S1;Universitas Negeri Jakarta;Manajemen SDM
